conflictid,country,incomp,year,int,cumint,type,startdate,startprec,startdate2,startprec2,epend,ependdate,ependprec,region
25,Burma,1,1965,1,0,3,1948-01-31,4,1964-01-31,4,0,,,3
25,Burma,1,1966,1,0,3,1948-01-31,4,1964-01-31,4,0,,,3
25,Burma,1,1967,1,0,3,1948-01-31,4,1964-01-31,4,0,,,3
25,Burma,1,1968,1,0,3,1948-01-31,4,1964-01-31,4,0,,,3
25,Burma,1,1969,1,0,3,1948-01-31,4,1964-01-31,4,0,,,3
25,Burma,1,1970,1,0,3,1948-01-31,4,1964-01-31,4,0,,,3
25,Burma,1,1971,1,0,3,1948-01-31,4,1964-01-31,4,0,,,3
25,Burma,1,1972,1,0,3,1948-01-31,4,1964-01-31,4,0,,,3
25,Burma,1,1973,1,0,3,1948-01-31,4,1964-01-31,4,0,,,3
25,Burma,1,1974,1,0,3,1948-01-31,4,1964-01-31,4,0,,,3
25,Burma,1,1975,1,0,3,1948-01-31,4,1964-01-31,4,0,,,3
25,Burma,1,1976,1,0,3,1948-01-31,4,1964-01-31,4,0,,,3
25,Burma,1,1977,1,0,3,1948-01-31,4,1964-01-31,4,0,,,3
25,Burma,1,1978,1,0,3,1948-01-31,4,1964-01-31,4,1,1978-12-31,5,3
25,Burma,1,1991,1,0,3,1948-01-31,4,1991-12-29,1,0,,,3
25,Burma,1,1992,1,0,3,1948-01-31,4,1991-12-29,1,1,1992-12-31,5,3
25,Burma,1,1994,1,0,3,1948-01-31,4,1994-12-31,5,1,1994-12-31,5,3
26,Burma,1,1949,1,0,3,1948-12-31,3,1949-02-28,3,0,,,3
26,Burma,1,1950,1,0,3,1948-12-31,3,1949-02-28,3,0,,,3
26,Burma,1,1951,1,0,3,1948-12-31,3,1949-02-28,3,0,,,3
26,Burma,1,1952,1,0,3,1948-12-31,3,1949-02-28,3,0,,,3
26,Burma,1,1953,1,0,3,1948-12-31,3,1949-02-28,3,0,,,3
26,Burma,1,1954,1,0,3,1948-12-31,3,1949-02-28,3,0,,,3
26,Burma,1,1955,1,0,3,1948-12-31,3,1949-02-28,3,0,,,3
26,Burma,1,1956,1,0,3,1948-12-31,3,1949-02-28,3,0,,,3
26,Burma,1,1957,1,0,3,1948-12-31,3,1949-02-28,3,0,,,3
26,Burma,1,1958,1,0,3,1948-12-31,3,1949-02-28,3,0,,,3
26,Burma,1,1959,1,0,3,1948-12-31,3,1949-02-28,3,0,,,3
26,Burma,1,1960,1,0,3,1948-12-31,3,1949-02-28,3,0,,,3
26,Burma,1,1961,1,0,3,1948-12-31,3,1949-02-28,3,0,,,3
26,Burma,1,1962,1,0,3,1948-12-31,3,1949-02-28,3,0,,,3
