"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"PAPRPPG","198813","13457","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","198901","13702","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","198902","13543","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","198903","13715","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","198904","14242","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","198905","14342","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","198906","14754","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","198907","14737","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","198908","15220","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","198909","15355","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","198910","15749","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","198911","16198","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","198912","16400","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","198913","14837","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","199001","15672.848","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","199002","16055.402","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","199003","16410.859","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","199004","16304.359","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","199005","16235.035","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","199006","15986.836","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","199007","16234.754","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","199008","12318.012","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","199009","14229.734","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","199010","14033.961","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","199011","14767.301","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","199012","15167.883","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","199013","15278","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","199101","14413.473","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","199102","14329.859","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","199103","14258.043","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","199104","13766.449","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","199105","13726","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","199106","14541.23","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","199107","15106.359","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","199108","15126.852","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","199109","15060.676","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","199110","15328.875","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","199111","15434.313","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","199112","15754.863","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","199113","14741","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","199201","16130","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","199202","16010","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","199203","15510","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","199204","15487","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","199205","15592","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","199206","15716","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","199207","15916","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","199208","16220","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","199209","16330","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","199210","16670","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","199211","16755","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","199212","16905","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","199213","15969.84","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","199301","17065.766","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","199302","17285.266","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","199303","16815.633","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","199304","16310.633","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","199305","16509.301","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","199306","16701.525","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","199307","17097.109","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","199308","17007.109","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","199309","17096.886","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","199310","17046.886","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","199311","16756.886","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","199312","16916.886","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","199313","16714.62","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
"PAPRPPG","199401","16854.698","1","Crude Oil Production, Persian Gulf Nations","Thousand Barrels per Day"
