YYYY, C_win, C_sum,  T_win,   T_sum,  T_year 
1086,      ,     I,       ,147,84
1087,      ,      ,       ,        ,           
1088,      ,      ,       ,        ,           
1089,4,     I,33,147,88
1090,      ,      ,       ,        ,           
1091,3,      ,43,        ,100
1092,      ,     I,      ,147,84
1093,7,      ,-2,        ,82
1094,4,     I,33,147,88
1095,5,   III,23,177,99
1096,      ,      ,       ,        ,           
1097,4,    II,33,162,96
1098,3,     I,43,147,92
1099,      ,      ,       ,        ,           
1100,7,      ,-2,        ,82
1101,      ,      ,       ,        ,           
1102,5,      ,23,        ,92
1103,      ,      ,       ,        ,           
1104,      ,      ,       ,        ,           
1105,    II,      ,23,        ,92
1106,5,   III,23,177,99
1107,      ,      ,       ,        ,           
1108,      ,      ,       ,        ,           
1109,      ,     I,       ,147,84
1110,      ,     I,       ,147,84
1111,7,      ,-2,        ,82
1112,      ,      ,       ,        ,           
1113,      ,      ,       ,        ,           
1114,      ,      ,       ,        ,           
1115,7,      ,-2,        ,82
1116,8,     I,-18,147,68
1117,2,     I,52,147,96
1118,      ,     I,       ,147,84
1119,3,      ,43,        ,100
1120,      ,      ,       ,        ,           
1121,      ,      ,       ,        ,           
1122,3,    II,43,162,100
1123,4,      ,33,        ,96
1124,8,     I,-18,147,68
1125,7,     I,-2,147,74
1126,7,      ,-2,        ,82
1127,      ,      ,       ,        ,           
1128,5,   III,23,177,99
1129,5,   III,23,177,99
1130,6,   III,12,177,95
1131,      ,      ,       ,        ,           
1132,7,      ,-2,        ,82
1133,      ,    II,       ,162,92
1134,6,    II,12,162,87
1135,    II,     I,23,147,84
1136,      ,      ,       ,        ,           
1137,5,   III,23,180,101
1138,      ,   III,       ,177,99
1139,      ,    II,       ,162,92
1140,      ,      ,       ,        ,           
1141,3,     I,43,144,91
1142,      ,      ,       ,        ,           
1143,8,    II,-18,162,75
1144,4,     I,33,147,88
1145,      ,      ,       ,        ,           
1146,      ,      ,       ,        ,           
1147,      ,      ,       ,        ,           
1148,      ,      ,       ,        ,           
1149,      ,    II,       ,162,92
1150,8,      ,-18,        ,75
1151,     I,     I,49,144,94
1152,5,     I,23,147,84
1153,      ,    II,       ,162,92
1154,      ,      ,       ,        ,           
1155,      ,      ,       ,        ,           
1156,8,     I,-18,147,68
1157,4,   III,33,177,104
1158,4,    II,33,162,96
1159,      ,    II,       ,162,92
1160,7,      ,-2,        ,82
1161,      ,      ,       ,        ,           
1162,      ,      ,       ,        ,           
1163,6,      ,12,        ,87
1164,      ,      ,       ,        ,           
1165,7,      ,-2,        ,82
1166,      ,      ,       ,        ,           
1167,6,      ,12,        ,87
1168,8,      ,-18,        ,75
1169,      ,     I,       ,147,84
1170,4,   III,33,180,105
